Transaction Amount,Transaction Time,Transaction Type,Merchant Category,Merchant Location,Average Transaction Amount,Transaction Frequency,Time Since Last Transaction,Transaction Velocity,Historical Transaction Patterns,Device ID,Browser and OS,IP Address,Channel,Billing Address vs. Shipping Address,Distance from Last Transaction,Country,Region,Blacklisted Merchants or IPs,Real-time Threat Intelligence,Social Media or Public Data,Keystroke Dynamics,Mouse Movement,Touchscreen Gestures,Anomaly Scores,Categorical Aggregates,Temporal Aggregates,User Age,Account Tenure,Credit Score,Fraudulent
249.29,2024-03-30 21:59,Online,Groceries,Capewtown,153.33,20,25,Low,Infrequent,DEV9146,"Edge, Win11",217.23.105.191,Web,No,42.3,South Africa,Western cape ,Yes,Medium,Yes,Low,Moderate,Moderate,0.89,High,Low,23,3,689,1
168.63,2024-02-29 14:35,Online,Electronics,Pretoria,35.14,10,22,Low,Frequent,DEV5443,"Firefox, Win11",8.88.14.125,Mobile,No,34.3,South Africa,gauteng,No,Low,No,Moderate,Low,High,0.74,Low,High,51,6,769,1
260.53,2024-07-28 12:41,In-store,Travel,Port Elizabeth,125.75,2,30,Medium,Frequent,DEV3993,"Chrome, Win10",49.50.251.194,Mobile,No,3.1,South Africa,Western cape ,No,High,No,High,Low,Low,0.03,Low,High,67,9,626,0
54.73,2024-05-08 22:22,Online,Electronics,Pretoria,239.64,24,24,High,Infrequent,DEV3495,"Firefox, Win11",207.237.176.200,Web,Yes,45.7,South Africa,Western cape ,Yes,High,No,Moderate,Moderate,Low,0.77,Medium,Low,28,8,764,1
229.42,2024-05-09 01:31,Online,Groceries,Durban,183.36,2,14,High,Frequent,DEV4867,"Firefox, Win11",96.183.188.142,Mobile,Yes,38.7,South Africa,Kwazulu Natal,No,High,No,High,Low,High,0.9,Low,Low,47,6,612,1
160.3,2024-03-25 04:24,Online,Electronics,Joburg,220.76,10,27,Low,Infrequent,DEV4306,"Edge, Win11",207.133.166.163,Web,Yes,30.5,South Africa,Kwazulu Natal,Yes,Medium,Yes,Low,High,Moderate,0.88,Low,High,20,10,718,1
213.58,2024-02-03 21:23,In-store,Electronics,Joburg,249.9,6,26,High,Infrequent,DEV4216,"Firefox, Win11",47.27.202.79,Mobile,No,42.9,South Africa,gauteng,No,Medium,Yes,Moderate,Low,High,0.0,Low,High,58,7,625,1
242.15,2024-02-28 02:53,In-store,Groceries,Durban,21.91,10,19,Medium,Infrequent,DEV9848,"Firefox, Win11",190.92.142.135,Web,No,6.3,South Africa,Eastern cape,No,Medium,No,Low,Moderate,High,0.26,High,Low,55,3,711,1
173.58,2024-03-10 06:03,Online,Electronics,Port Elizabeth,51.02,18,6,Low,Infrequent,DEV7226,"Edge, Win11",194.26.92.16,Web,Yes,4.8,South Africa,gauteng,No,High,Yes,Moderate,High,Low,0.22,Low,High,36,1,739,0
250.0,2024-07-17 03:18,In-store,Clothing,Port Elizabeth,39.93,27,13,Medium,Frequent,DEV4213,"Edge, Win11",10.163.51.69,Mobile,No,2.4,South Africa,Kwazulu Natal,No,Low,Yes,High,Moderate,High,0.41,Medium,High,29,9,668,0
